
Number of hit	Text ID	Concordance line
1	5242515	several manuscripts , which I entered yester-year in Wales . and the princeps of editio of " Pride and prejudice . " impressive . this is skin . . This also . Henries Stendhal . " Don Kichot ? " He/she is very thin . very good . there now <<< he/she >>> does n't make this strike as long as he/she will hear to himself him in original Castilian dialect . Castilian ? if I can ? Ah like this . Nina ! do you happen Frequently here , that/IN what ? I Work here . What do you make here ?
2	5260126	, if . Is anything not built on her ? No , he/she is between both . Well . He says that/IN he/she is fair among these two buildings . Between both buildings are a garden with terraces in height . And it is in this area , where Efraym <<< he/she >>> says that/IN you locates her it knocks down . It should be behind this wall . But the question is ; In which terrace ? Not you will be able to ascend somewhere around . The neighbors begin to be interested for the search . And they point to a
3	5260126	trees and he/she looked at the Jewish Temple . Where now the dome of gold is erected Muslim the most sacred in the saints was . There he/she , Jes ? s he/she looked at the Temple . It predicted their destruction , and he/she cried . The place where <<< he/she >>> cried , it is this . " Dominus Flevit " A sacred place , where the monks Franciscan contruyeron this monastery in 1891 . - Let us enter . In 1953 while they remodeled , those Franciscans discovered a cemetery of two thousand years of antiquity . This old necropolis
4	5260126	by the Christian later tradition ... In Felipe 's Acts , not you he/she mentions their previous life ... He/she is named positively , as missionary of Christ ... Being in the same level that/IN the missionary men he/she preaches , he/she teaches , he/she baptizes . And you until <<< he/she >>> is called Apostle . If in the first traditions you christen , M.Magdalena was an Apostle then the nickname " Mara " found in the osario it could mean extraordinary alg . In Aramaic , " Mara " means Teacher . Mara , the teacher . - Still today if
5	5227176	You wo n't sit down ! This already decided ! really ? to look in for this very good duckies . because like you he/she will see this of next time they will be in first page ! this On the one what they walk ? you Still left and <<< he/she >>> left and the one that/IN they want this to seat crudely . and subsequent weapon is calling art then . So that steak of foolishness ! as these researches will appear my life will change in hell box for be in schedule . some mankind misfortune is somewhere there of
6	5235308	Myself Only . He/she already acquires . this was excellent . me my name is Sammy Marcetti . I am called Sally Marcetti . Sally Solomon . ... delight . beauty of Ciao . only ... I got there is to know a little next bar the splendid subject . <<< he/she >>> is not going This acquires nor piece of our food . attention everything . for departure finished and we divided ! do , did you see this ? like this . they are inside shape , let says , tennis ball , did you see this ? obviously , that/IN
7	5225504	become . and you will understand then , you are going the out while nicely it times certainly . we are Already . I sit down . sit down . leave preservative . leave preservative . Spit out her . do you Think that anything in the threat here ? <<< he/she >>> is approximately 50 people Here . then truth . we are not going This does close to such crowd this . if he/she sits down there , I will sit down there . we Began for 3 ... 2 ... 1 ... I Greet everything in " People and ideas
8	5212208	n't sit down it . Not him you , suckles . Not you what is real . Anything makes sense for my now . Joey ... you are blessed , your you lived . What did I make ? Not I made anything important ... Shaggy paid the rent since <<< he/she >>> had 16 . He stopped to the marksmen of here . The Mr . he/she works in forms mysterious . Nothe/shehasnew messages . Hellohe/shesuckles , how are you ? If ... didyouReceivethe money ? If , I receivedit . - Thework ? - It is well ... Mypartneris good ,
9	5225504	for movies superfluous entrance . in what film ? me disremember entitle , but thingamabob , in which Jackie Khan killed two entertains glass stick . I Heard that/IN it was good . I would Invite him , but we tore out from , only you know ... luminous there <<< he/she >>> does n't have does n't matter . there now and like this I have superfluous jeden I enter , it can go as friends ? good . the do n't do worries on this , probably , that/IN you have exactly close to me $6,50 . I only Have $20
10	5219020	it will to somebody . The sheriff maybe took it to him . But why was not it taken to David ? David was sleeping . She was maybe out and David slept while everything happened . It is dark out . She would not leave somewhere around . Not <<< he/she >>> makes sense . Did you listen that ? The what an one ? It should be the seeing . What devils ? Teeth ? It is disgusting . Why they continue lit the lights ? Peggy ? Today you have a special one at night ? My God . Steven
11	5216899	of Canada " Senator Trueba to speak with the Ambassador . can please , leave the vehicle . have that searching . skirt of the car ! skirt of the car ! quiet there his/her old one dizzy ! are " clean . " open the port her no longer <<< he/she >>> reacts . should not want the death , my daughter . that is not the important . Amorte comes in any way . should struggle to live ... because the life is a miracle . And the Dawn needs you . she is your ? wait . who speaks ?
12	5216899	, he/she already said ! tell them that/IN you/they return to the work . please , return to the work . come here . did n't teach your son to not to look the patr ? n in the eyes ? take off the shirt . ... Tassigny does n't <<< he/she >>> eat connosco ? Satigny . Conde Satigny . he continues outside to see the crop of the corn . have a great interest for the agriculture . And in to know that possess . today had to dismiss Pedro Segundo . never again want to see him/it for here .
13	5260126	son of Jos ? . " Inside this osario , we find material that was in the stone surface in a circular very interesting pattern . It is worthwhile to pick up it and to analyze it , to see their composition . The pattern or the material , us <<< he/she >>> can give important indications About who , what , when and where . It is disheveled thinking that/IN these you show Jes ? s DNA and M.M they can contain . But if the material is enough , they can to give us more information has more than enough Jes
14	5226482	that is extra youth , you have quite good predispositions inflorescences , that/IN what ? very well Left married but romantic however really she got knowing you this does n't disturb ? and supposedly that/IN that , Sally this fulfils to himself is careful that/IN his/her life is incomplete that/IN <<< he/she >>> will be as long as the subject and he/she sweats her life did n't lie to himself better when you got me to know ? like this there now we had time to be if familiarized and us learnt a lot we are together since year and we do n't
15	5221002	the one of her not he/she is his/her daughter , he/she is the daughter of God Do n't please him nieges the one right of being safe Count his/her God ... that he/she makes that/IN my husband and son 's return , we go Operator , I call this then <<< he/she >>> takes his/her garbage and veto of here I love him out Make the peace with god and it allows this to go It was Mamy , I want to disappear for that/IN my potato me this wait and all of us can hug each other when we went back home
